,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
0,TXG,"10x Genomics, Inc.",82.38,$8.1B,2019.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/txg
1,YI,"111, Inc.",7.0,$576.52M,2018.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/yi
2,PIH,"1347 Property Insurance Holdings, Inc.",4.59,$27.85M,2014.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pih
3,PIHPP,"1347 Property Insurance Holdings, Inc.",24.625,$17.24M,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/pihpp
4,TURN,180 Degree Capital Corp.,1.72,$53.53M,,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/turn
5,FLWS,"1-800-FLOWERS.COM, Inc.",22.82,$1.47B,1999.0,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/flws
6,BCOW,"1895 Bancorp of Wisconsin, Inc.",9.5,$47.13M,2019.0,Finance,Banks,https://old.nasdaq.com/symbol/bcow
7,ONEM,"1Life Healthcare, Inc.",32.87,$4.15B,2020.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/onem
8,FCCY,1st Constitution Bancorp (NJ),14.05,$143.33M,,Finance,Savings Institutions,https://old.nasdaq.com/symbol/fccy
9,SRCE,1st Source Corporation,37.6,$960.14M,,Finance,Major Banks,https://old.nasdaq.com/symbol/srce
10,VNET,"21Vianet Group, Inc.",13.34,$1.51B,2011.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/vnet
11,TWOU,"2U, Inc.",33.16,$2.12B,2014.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/twou
12,QFIN,"360 Finance, Inc.",9.98,$1.46B,2018.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/qfin
13,KRKR,36Kr Holdings Inc.,5.79,$217.09M,2019.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/krkr
14,JOBS,"51job, Inc.",69.19,$4.63B,2004.0,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/jobs
15,ETNB,"89bio, Inc.",22.83,$314.91M,2019.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/etnb
16,JFK,8i Enterprises Acquisition Corp,10.06,$74.72M,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfk
17,JFKKR,8i Enterprises Acquisition Corp,0.31,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkr
18,JFKKU,8i Enterprises Acquisition Corp,10.6,$53M,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfkku
19,JFKKW,8i Enterprises Acquisition Corp,0.49,$2.82M,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/jfkkw
20,EGHT,8x8 Inc,14.74,$1.53B,,Technology,EDP Services,https://old.nasdaq.com/symbol/eght
21,NMTR,"9 Meters Biopharma, Inc.",0.6688,$64.37M,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/nmtr
22,JFU,9F Inc.,6.59,$1.28B,2019.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/jfu
23,AAON,"AAON, Inc.",58.37,$3.04B,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon
24,ABEO,Abeona Therapeutics Inc.,2.92,$244.4M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abeo
25,ABMD,"ABIOMED, Inc.",249.81,$11.23B,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/abmd
26,AXAS,Abraxas Petroleum Corporation,0.2763,$46.53M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/axas
27,ACIU,AC Immune SA,6.57,$472.12M,2016.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aciu
28,ACIA,"Acacia Communications, Inc.",67.25,$2.81B,2016.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/acia
29,ACTG,Acacia Research Corporation,3.72,$181.19M,,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/actg
30,ACHC,"Acadia Healthcare Company, Inc.",30.12,$2.68B,,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/achc
31,ACAD,ACADIA Pharmaceuticals Inc.,45.61,$7.11B,1985.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acad
32,ACAM,Acamar Partners Acquisition Corp.,10.01,$382.35M,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/acam
33,ACAMU,Acamar Partners Acquisition Corp.,10.33,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/acamu
34,ACAMW,Acamar Partners Acquisition Corp.,0.62,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/acamw
35,ACST,"Acasti Pharma, Inc.",0.75,$67.66M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acst
36,AXDX,"Accelerate Diagnostics, Inc.",9.19,$507.94M,,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/axdx
37,ACCP,"Accelerated Pharma, Inc.",,,,,,https://old.nasdaq.com/symbol/accp
38,XLRN,Acceleron Pharma Inc.,91.54,$4.93B,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/xlrn
39,ARAY,Accuray Incorporated,2.47,$223.45M,2007.0,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/aray
40,ACRX,"AcelRx Pharmaceuticals, Inc.",1.45,$117.11M,2011.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrx
41,ACER,Acer Therapeutics Inc.,3.08,$31.57M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acer
42,ACHV,"Achieve Life Sciences, Inc. ",0.4719,$17.7M,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/achv
43,ACIW,"ACI Worldwide, Inc.",28.96,$3.36B,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/aciw
44,ACRS,"Aclaris Therapeutics, Inc.",1.43,$59.87M,2015.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrs
45,ACMR,"ACM Research, Inc.",62.44,$1.14B,2017.0,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acmr
46,ACNB,ACNB Corporation,27.63,$239.55M,,Finance,Major Banks,https://old.nasdaq.com/symbol/acnb
47,ACOR,"Acorda Therapeutics, Inc.",0.7573,$36.34M,2006.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/acor
48,ACTT,Act II Global Acquisition Corp.,10.12,$379.5M,2019.0,Consumer Non-Durables,Specialty Foods,https://old.nasdaq.com/symbol/actt
49,ACTTU,Act II Global Acquisition Corp.,10.55,,2019.0,Consumer Non-Durables,Specialty Foods,https://old.nasdaq.com/symbol/acttu
50,ACTTW,Act II Global Acquisition Corp.,1.14,$24.8M,2019.0,Consumer Non-Durables,Specialty Foods,https://old.nasdaq.com/symbol/acttw
51,ATVI,"Activision Blizzard, Inc",69.43,$53.49B,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/atvi
52,ADMS,"Adamas Pharmaceuticals, Inc.",2.98,$83.91M,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adms
53,ADMP,Adamis Pharmaceuticals Corporation,0.5333,$39.32M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/admp
54,AHCO,AdaptHealth Corp. ,15.95,$1.18B,2018.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/ahco
55,ADAP,Adaptimmune Therapeutics plc,11.25,$1.46B,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adap
56,ADPT,Adaptive Biotechnologies Corporation,38.73,$4.91B,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adpt
57,ADXN,Addex Therapeutics Ltd,7.28,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adxn
58,ADUS,Addus HomeCare Corporation,97.04,$1.51B,2009.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/adus
59,AEY,"ADDvantage Technologies Group, Inc.",2.37,$24.82M,,Consumer Services,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/aey
60,IOTS,Adesto Technologies Corporation,11.93,$369.38M,2015.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/iots
61,ADIL,"Adial Pharmaceuticals, Inc",1.7204,$18.29M,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adil
62,ADILW,"Adial Pharmaceuticals, Inc",0.24,,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adilw
63,ADMA,ADMA Biologics Inc,2.975,$256.88M,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adma
64,ADBE,Adobe Inc.,392.9,$189.3B,1986.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/adbe
65,ADTN,"ADTRAN, Inc.",11.51,$551.99M,1994.0,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/adtn
66,ADRO,"Aduro Biotech, Inc.",2.28,$184.41M,2015.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adro
67,ADES,"Advanced Emissions Solutions, Inc.",5.56,$102.82M,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/ades
68,AEIS,"Advanced Energy Industries, Inc.",73.0,$2.79B,1995.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aeis
69,AMD,"Advanced Micro Devices, Inc.",53.1,$62.19B,,Technology,Semiconductors,https://old.nasdaq.com/symbol/amd
70,ADXS,"Advaxis, Inc.",0.7762,$46.76M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adxs
71,ADVM,"Adverum Biotechnologies, Inc.",22.665,$1.82B,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/advm
72,DWEQ,AdvisorShares Dorsey Wright Alpha Equal Weight ETF,20.0204,$33.03M,,,,https://old.nasdaq.com/symbol/dweq
73,DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,27.5945,$59.33M,,,,https://old.nasdaq.com/symbol/dwaw
74,DWUS,AdvisorShares Dorsey Wright FSM US Core ETF,26.5847,$43.2M,,,,https://old.nasdaq.com/symbol/dwus
75,DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,20.8509,$2.09M,,,,https://old.nasdaq.com/symbol/dwmc
76,DWSH,AdvisorShares Dorsey Wright Short ETF,17.1,$92.77M,,,,https://old.nasdaq.com/symbol/dwsh
77,ACT,AdvisorShares Vice ETF,23.895,$10.75M,,,,https://old.nasdaq.com/symbol/act
78,AEGN,Aegion Corp,17.71,$543.41M,,Basic Industries,Water Supply,https://old.nasdaq.com/symbol/aegn
79,AGLE,"Aeglea BioTherapeutics, Inc.",9.25,$412.49M,2016.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agle
80,AEHR,Aehr Test Systems,1.93,$44.42M,1997.0,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/aehr
81,AMTX,"Aemetis, Inc",0.94,$19.44M,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/amtx
82,AERI,"Aerie Pharmaceuticals, Inc.",15.06,$699.81M,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/aeri
83,AVAV,"AeroVironment, Inc.",76.41,$1.83B,2007.0,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/avav
84,ARPO,"Aerpio Pharmaceuticals, Inc.",1.15,$46.68M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/arpo
85,AIH,Aesthetic Medical International Holdings Group Ltd.,7.13,$168.36M,2019.0,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/aih
86,AEZS,AEterna Zentaris Inc.,1.15,$23.04M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aezs
87,AEMD,"Aethlon Medical, Inc.",1.38,$12.92M,,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/aemd
88,AFMD,Affimed N.V.,3.48,$265.35M,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/afmd
89,AFYA,Afya Limited,20.68,$1.92B,2019.0,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/afya
90,AGBA,AGBA Acquisition Limited,10.11,$60.41M,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/agba
91,AGBAR,AGBA Acquisition Limited,0.2,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/agbar
92,AGBAU,AGBA Acquisition Limited,10.22,$61.06M,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/agbau
93,AGBAW,AGBA Acquisition Limited,0.0301,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/agbaw
94,AGEN,Agenus Inc.,3.85,$653.64M,2000.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/agen
95,AGRX,"Agile Therapeutics, Inc.",2.87,$250.3M,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agrx
96,AGYS,"Agilysys, Inc.",23.68,$554.13M,,Technology,EDP Services,https://old.nasdaq.com/symbol/agys
97,AGIO,"Agios Pharmaceuticals, Inc.",50.66,$3.49B,2013.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agio
98,AGMH,AGM Group Holdings Inc.,22.32,$644.85M,2018.0,Technology,EDP Services,https://old.nasdaq.com/symbol/agmh
99,AGNC,AGNC Investment Corp.,13.49,$7.55B,2008.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agnc
100,AGNCM,AGNC Investment Corp.,22.8,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agncm
101,AGNCN,AGNC Investment Corp.,23.71,$308230,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agncn
102,AGNCO,AGNC Investment Corp.,22.8,$214.32M,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agnco
103,AGNCP,AGNC Investment Corp.,21.76,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agncp
104,AGFS,"AgroFresh Solutions, Inc.",3.21,$163.94M,2014.0,Finance,Business Services,https://old.nasdaq.com/symbol/agfs
105,AGFSW,"AgroFresh Solutions, Inc.",0.0165,,2014.0,Finance,Business Services,https://old.nasdaq.com/symbol/agfsw
106,AIKI,AIkido Pharma Inc.,0.73,$25.49M,,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/aiki
107,ALRN,"Aileron Therapeutics, Inc.",1.19,$34.61M,2017.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alrn
108,AIMT,"Aimmune Therapeutics, Inc.",17.98,$1.17B,2015.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aimt
109,AIRT,"Air T, Inc.",14.9626,$43.58M,,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/airt
110,AIRTP,"Air T, Inc.",22.2,,,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/airtp
111,AIRTW,"Air T, Inc.",0.0798,,,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/airtw
112,ATSG,"Air Transport Services Group, Inc",22.445,$1.34B,,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/atsg
113,AIRG,"Airgain, Inc.",9.3,$90.18M,2016.0,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/airg
114,ANTE,AirNet Technology Inc.,1.0,$12.57M,,Technology,Advertising,https://old.nasdaq.com/symbol/ante
115,AKAM,"Akamai Technologies, Inc.",99.0,$16.07B,1999.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/akam
116,AKTX,Akari Therapeutics Plc,2.47,$70.96M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aktx
117,AKCA,"Akcea Therapeutics, Inc.",15.24,$1.55B,2017.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/akca
118,AKBA,"Akebia Therapeutics, Inc.",11.955,$1.71B,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/akba
119,KERN,Akerna Corp.,9.16,$121.45M,2018.0,Technology,EDP Services,https://old.nasdaq.com/symbol/kern
120,KERNW,Akerna Corp.,1.0799,,2018.0,Technology,EDP Services,https://old.nasdaq.com/symbol/kernw
121,AKRO,"Akero Therapeutics, Inc.",24.05,$689.6M,2019.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/akro
122,AKER,Akers Biosciences Inc.,3.59,$21.98M,2014.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/aker
123,AKTS,"Akoustis Technologies, Inc.",7.83,$285.55M,,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/akts
124,ALRM,"Alarm.com Holdings, Inc.",58.83,$2.87B,2015.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/alrm
125,ALSK,"Alaska Communications Systems Group, Inc.",2.66,$142.47M,1999.0,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/alsk
126,ALAC,Alberton Acquisition Corporation,10.73,$157.62M,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/alac
127,ALACR,Alberton Acquisition Corporation,0.134,,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/alacr
128,ALACU,Alberton Acquisition Corporation,10.8,,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/alacu
129,ALACW,Alberton Acquisition Corporation,0.0825,,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/alacw
130,ALBO,"Albireo Pharma, Inc.",26.63,$398.91M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/albo
131,ALDX,"Aldeyra Therapeutics, Inc.",4.83,$143.89M,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aldx
132,ALEC,"Alector, Inc.",29.99,$2.37B,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/alec
133,ALRS,Alerus Financial Corporation,21.27,$363.84M,2019.0,Finance,Major Banks,https://old.nasdaq.com/symbol/alrs
134,ALXN,"Alexion Pharmaceuticals, Inc.",115.21,$25.44B,1996.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alxn
135,ALCO,"Alico, Inc.",31.44,$235.36M,,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/alco
136,ALIT,Alight Inc.,,,,,,https://old.nasdaq.com/symbol/alit
137,ALGN,"Align Technology, Inc.",288.21,$22.7B,2001.0,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/algn
138,ALIM,"Alimera Sciences, Inc.",5.03,$25.31M,2010.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alim
139,ALYA,Alithya Group inc.,1.91,$97.24M,,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/alya
140,ALJJ,"ALJ Regional Holdings, Inc.",0.6536,$27.56M,,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/aljj
141,ALKS,Alkermes plc,17.19,$2.73B,1991.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alks
142,ALLK,Allakos Inc.,66.81,$3.26B,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/allk
143,ABTX,"Allegiance Bancshares, Inc.",29.19,$595.56M,2015.0,Finance,Major Banks,https://old.nasdaq.com/symbol/abtx
144,ALGT,Allegiant Travel Company,124.1,$2.01B,2006.0,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/algt
145,ALNA,"Allena Pharmaceuticals, Inc.",2.12,$52.45M,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/alna
146,ARLP,"Alliance Resource Partners, L.P.",3.77,$479.53M,1999.0,Energy,Coal Mining,https://old.nasdaq.com/symbol/arlp
147,LNT,Alliant Energy Corporation,50.64,$12.63B,,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/lnt
148,AESE,"Allied Esports Entertainment, Inc.",3.67,$100.29M,2017.0,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/aese
149,AHPI,"Allied Healthcare Products, Inc.",8.02,$32.19M,1992.0,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/ahpi
150,AMOT,"Allied Motion Technologies, Inc.",40.52,$394.44M,,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/amot
151,ALLO,"Allogene Therapeutics, Inc.",42.63,$5.92B,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/allo
152,ALLT,Allot Ltd.,10.88,$375.59M,2006.0,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/allt
153,MDRX,"Allscripts Healthcare Solutions, Inc.",6.94,$1.13B,,Technology,EDP Services,https://old.nasdaq.com/symbol/mdrx
154,ALNY,"Alnylam Pharmaceuticals, Inc.",127.59,$14.65B,2004.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alny
155,AOSL,Alpha and Omega Semiconductor Limited,12.3,$308.46M,2010.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/aosl
156,GOOG,Alphabet Inc.,1438.39,$981.87B,2004.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/goog
157,GOOGL,Alphabet Inc.,1440.02,$982.99B,,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/googl
158,SMCP,AlphaMark Actively Managed Small Cap ETF,21.59,$19.43M,,,,https://old.nasdaq.com/symbol/smcp
159,ATEC,"Alphatec Holdings, Inc.",5.59,$354.59M,2006.0,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/atec
160,ALPN,"Alpine Immune Sciences, Inc.",3.85,$71.56M,2015.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alpn
161,ALTR,Altair Engineering Inc.,40.21,$2.93B,2017.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/altr
162,ATHE,Alterity Therapeutics Limited,0.58,$8.44M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/athe
163,ALT,"Altimmune, Inc.",7.56,$152.04M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/alt
164,ASPS,Altisource Portfolio Solutions S.A.,15.74,$245.08M,,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/asps
165,AIMC,Altra Industrial Motion Corp.,36.5,$2.36B,2006.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aimc
166,ALTM,Altus Midstream Company,0.95,$308.68M,2017.0,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/altm
167,AMAG,"AMAG Pharmaceuticals, Inc.",8.89,$304.69M,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/amag
168,AMAL,Amalgamated Bank,13.22,$409.82M,2018.0,Consumer Non-Durables,Textiles,https://old.nasdaq.com/symbol/amal
169,AMRN,Amarin Corporation plc,6.68,$2.58B,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/amrn
170,AMRK,"A-Mark Precious Metals, Inc.",17.2,$120.94M,,Basic Industries,Other Specialty Stores,https://old.nasdaq.com/symbol/amrk
171,AMZN,"Amazon.com, Inc.",2483.0,$1238.46B,1997.0,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/amzn
172,AMBC,"Ambac Financial Group, Inc.",14.91,$682.57M,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/ambc
173,AMBA,"Ambarella, Inc.",53.68,$1.84B,2012.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/amba
174,AMCX,AMC Networks Inc.,33.31,$1.73B,,Consumer Services,Television Services,https://old.nasdaq.com/symbol/amcx
175,AMCI,AMCI Acquisition Corp.,10.27,$283.09M,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/amci
176,AMCIU,AMCI Acquisition Corp.,10.6,,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/amciu
177,AMCIW,AMCI Acquisition Corp.,0.41,,2018.0,Finance,Business Services,https://old.nasdaq.com/symbol/amciw
178,DOX,Amdocs Limited,63.25,$8.44B,,Technology,EDP Services,https://old.nasdaq.com/symbol/dox
179,AMED,Amedisys Inc,175.68,$5.69B,,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/amed
180,AMTB,Amerant Bancorp Inc.,15.94,$672.12M,,Finance,Major Banks,https://old.nasdaq.com/symbol/amtb
181,AMTBB,Amerant Bancorp Inc.,9.99,$421.24M,,Finance,Major Banks,https://old.nasdaq.com/symbol/amtbb
182,UHAL,Amerco,347.06,$6.81B,,Consumer Services,Rental/Leasing Companies,https://old.nasdaq.com/symbol/uhal
183,AMRH,"Ameri Holdings, Inc.",1.87,$8.48M,,Technology,Semiconductors,https://old.nasdaq.com/symbol/amrh
184,AMRHW,"Ameri Holdings, Inc.",0.08,,,Technology,Semiconductors,https://old.nasdaq.com/symbol/amrhw
185,ATAX,"America First Multifamily Investors, L.P.",4.8,$290.62M,,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/atax
186,AMOV,"America Movil, S.A.B. de C.V.",14.19,$46.8B,,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/amov
187,AAL,"American Airlines Group, Inc.",18.59,$7.86B,,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/aal
188,AFIN,"American Finance Trust, Inc.",8.89,$964.81M,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/afin
189,AFINP,"American Finance Trust, Inc.",21.83,$26.2M,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/afinp
190,AMNB,"American National Bankshares, Inc.",28.0,$306.81M,,Finance,Major Banks,https://old.nasdaq.com/symbol/amnb
191,ANAT,American National Insurance Company,86.34,$2.32B,,Finance,Life Insurance,https://old.nasdaq.com/symbol/anat
192,APEI,"American Public Education, Inc.",32.56,$481.28M,2007.0,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/apei
193,AREC,American Resources Corporation,1.15,$29.94M,,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/arec
194,AMRB,American River Bankshares,10.1,$59.78M,,Finance,Major Banks,https://old.nasdaq.com/symbol/amrb
195,AMSWA,"American Software, Inc.",20.84,$670.84M,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/amswa
196,AMSC,American Superconductor Corporation,7.96,$180.19M,1991.0,Consumer Durables,Metal Fabrications,https://old.nasdaq.com/symbol/amsc
197,AVCT,"American Virtual Cloud Technologies, Inc. ",2.12,$41.63M,2017.0,Finance,Business Services,https://old.nasdaq.com/symbol/avct
198,AVCTW,"American Virtual Cloud Technologies, Inc. ",0.17,,2017.0,Finance,Business Services,https://old.nasdaq.com/symbol/avctw
199,AMWD,American Woodmark Corporation,74.49,$1.26B,1986.0,Basic Industries,Forest Products,https://old.nasdaq.com/symbol/amwd
