,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
1460,GPRE,"Green Plains, Inc.",9.83,$348.91M,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/gpre
1461,GCBC,"Greene County Bancorp, Inc.",23.53,$200.32M,,Finance,Banks,https://old.nasdaq.com/symbol/gcbc
1462,GTEC,Greenland Technologies Holding Corporation,2.27,$22.75M,2018.0,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/gtec
1463,GNLN,"Greenlane Holdings, Inc.",3.86,$167.36M,2019.0,Capital Goods,Recreational Products/Toys,https://old.nasdaq.com/symbol/gnln
1464,GLRE,"Greenlight Reinsurance, Ltd.",7.54,$280.05M,2007.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/glre
1465,GRNQ,Greenpro Capital Corp.,1.36,$73.44M,,Technology,EDP Services,https://old.nasdaq.com/symbol/grnq
1466,GNRS,Greenrose Acquisition Corp.,9.7,$212.36M,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/gnrs
1467,GNRSU,Greenrose Acquisition Corp.,9.9001,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/gnrsu
1468,GNRSW,Greenrose Acquisition Corp.,0.25,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/gnrsw
1469,GSKY,"GreenSky, Inc.",5.65,$1.01B,2018.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/gsky
1470,GRNV,GreenVision Acquisition Corp,9.92,$71.3M,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/grnv
1471,GRNVR,GreenVision Acquisition Corp,0.3,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/grnvr
1472,GRNVU,GreenVision Acquisition Corp,10.15,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/grnvu
1473,GRNVW,GreenVision Acquisition Corp,0.13,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/grnvw
1474,GDYN,"Grid Dynamics Holdings, Inc.",9.0,$457.4M,2018.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/gdyn
1475,GDYNW,"Grid Dynamics Holdings, Inc.",1.7,,2018.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/gdynw
1476,GSUM,Gridsum Holding Inc.,0.85,$29.43M,2016.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/gsum
1477,GRIF,"Griffin Industrial Realty, Inc.",45.02,$230.88M,,Finance,Real Estate,https://old.nasdaq.com/symbol/grif
1478,GRFS,"Grifols, S.A.",20.02,$13.7B,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/grfs
1479,GRIN,Grindrod Shipping Holdings Ltd.,2.925,$54.89M,,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/grin
1480,GRTS,"Gritstone Oncology, Inc.",6.73,$250.79M,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/grts
1481,GO,Grocery Outlet Holding Corp.,34.63,$3.15B,2019.0,Consumer Services,Food Chains,https://old.nasdaq.com/symbol/go
1482,GRPN,"Groupon, Inc.",1.51,$857.57M,2011.0,Technology,Advertising,https://old.nasdaq.com/symbol/grpn
1483,GRWG,GrowGeneration Corp.,6.73,$259.33M,,Consumer Services,RETAIL: Building Materials,https://old.nasdaq.com/symbol/grwg
1484,OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V.,43.74,$2.13B,2006.0,Transportation,Aerospace,https://old.nasdaq.com/symbol/omab
1485,GGAL,Grupo Financiero Galicia S.A.,10.37,$1.48B,,Finance,Commercial Banks,https://old.nasdaq.com/symbol/ggal
1486,GVP,"GSE Systems, Inc.",1.15,$23.22M,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/gvp
1487,GSIT,"GSI Technology, Inc.",7.5,$173.68M,2007.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/gsit
1488,GTYH,"GTY Technology Holdings, Inc.",4.15,$222.41M,2016.0,Technology,EDP Services,https://old.nasdaq.com/symbol/gtyh
1489,GNTY,"Guaranty Bancshares, Inc.",27.35,$301.23M,2017.0,Finance,Major Banks,https://old.nasdaq.com/symbol/gnty
1490,GFED,"Guaranty Federal Bancshares, Inc.",14.52,$63.38M,,Finance,Major Banks,https://old.nasdaq.com/symbol/gfed
1491,GH,"Guardant Health, Inc.",83.22,$8.23B,2018.0,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/gh
1492,GHSI,"Guardion Health Sciences, Inc.",0.495,$42.38M,2019.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ghsi
1493,GIFI,"Gulf Island Fabrication, Inc.",3.14,$48.01M,1997.0,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/gifi
1494,GURE,"Gulf Resources, Inc.",5.35,$50.92M,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/gure
1495,GPOR,Gulfport Energy Corporation,1.69,$270.18M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/gpor
1496,GWPH,GW Pharmaceuticals Plc,128.13,$3.98B,2013.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/gwph
1497,GWGH,"GWG Holdings, Inc",8.17,$249.48M,2014.0,Finance,Life Insurance,https://old.nasdaq.com/symbol/gwgh
1498,GXGX,GX Acquisition Corp.,10.0,$359.38M,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/gxgx
1499,GXGXU,GX Acquisition Corp.,10.39,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/gxgxu
1500,GXGXW,GX Acquisition Corp.,0.64,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/gxgxw
1501,GYRO,"Gyrodyne , LLC",16.09,$23.86M,,Consumer Services,Building operators,https://old.nasdaq.com/symbol/gyro
1502,HEES,"H&E Equipment Services, Inc.",20.9,$750.73M,2006.0,,,https://old.nasdaq.com/symbol/hees
1503,HLG,Hailiang Education Group Inc.,41.0,$1.06B,2015.0,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/hlg
1504,HNRG,Hallador Energy Company,0.86,$26.16M,,Energy,Coal Mining,https://old.nasdaq.com/symbol/hnrg
1505,HALL,"Hallmark Financial Services, Inc.",4.06,$73.58M,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/hall
1506,HALO,"Halozyme Therapeutics, Inc.",23.6,$3.21B,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/halo
1507,HLNE,Hamilton Lane Incorporated,68.54,$3.56B,2017.0,Finance,Investment Managers,https://old.nasdaq.com/symbol/hlne
1508,HJLI,"Hancock Jaffe Laboratories, Inc.",0.3714,$7.81M,2018.0,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/hjli
